iterations,fitness,time,fevals
0,52.0,0.000585700999999,471
10,58.0,0.001148607,838
20,56.0,0.001731291,1201
30,59.0,0.00229704,1575
40,60.0,0.002855683,1942
50,61.0,0.00357374,2312
60,61.0,0.004173638,2674
70,61.0,0.004775621,3030
80,62.0,0.005477253,3394
90,63.0,0.006155891,3766
100,64.0,0.006806875,4140
110,63.0,0.007300717,4513
120,62.0,0.007929859,4881
130,63.0,0.008467554,5251
140,63.0,0.008988203,5618
150,63.0,0.009504199,5978
160,63.0,0.010021194,6343
170,62.0,0.010678412,6709
180,63.0,0.011211778,7083
190,65.0,0.011751048,7457
200,63.0,0.012289088,7825
210,64.0,0.012830154,8189
220,64.0,0.013356635,8556
230,63.0,0.013897509,8930
240,63.0,0.014439158,9300
250,62.0,0.014981804,9670
260,64.0,0.015554588,10049
270,66.0,0.016110982,10406
280,64.0,0.016773739,10767
290,65.0,0.017654494,11131
300,64.0,0.01833923,11499
310,65.0,0.019003419,11864
320,65.0,0.019651586,12228
330,65.0,0.020265452,12596
340,64.0,0.020794166,12961
350,64.0,0.021306837,13326
360,65.0,0.021971563,13692
370,63.0,0.022541439,14060
380,65.0,0.023081934,14427
390,67.0,0.023639832,14791
400,66.0,0.024298859,15156
410,66.0,0.024858236,15527
420,67.0,0.025418899,15889
430,67.0,0.026134106,16259
440,66.0,0.026659779,16634
450,68.0,0.027302352,17009
460,68.0,0.027931154,17376
470,68.0,0.032696448,17745
480,69.0,0.033253717,18115
490,69.0,0.033767788,18490
500,69.0,0.034264836,18856
510,67.0,0.034802532,19225
520,68.0,0.035359173,19592
530,68.0,0.035881848,19959
540,68.0,0.036334393,20330
550,68.0,0.036812081,20694
560,68.0,0.03744343,21057
570,68.0,0.038106513,21420
580,70.0,0.042625135,21790
590,68.0,0.04323976,22161
600,67.0,0.043989373,22529
610,68.0,0.044679646,22896
620,69.0,0.045394019,23265
630,69.0,0.046047455,23625
640,70.0,0.046737867,23990
650,70.0,0.048084292,24359
660,70.0,0.048735412,24730
670,71.0,0.049377501,25087
680,71.0,0.050032603,25462
690,70.0,0.051528321,25832
700,71.0,0.052135315,26192
710,70.0,0.05272165,26561
720,71.0,0.053328817,26927
730,72.0,0.053963193,27290
740,71.0,0.054645591,27658
750,72.0,0.055219484,28029
760,70.0,0.056072028,28396
770,70.0,0.056722249,28765
780,70.0,0.057330914,29133
790,71.0,0.057955108,29494
800,71.0,0.0586042,29854
810,71.0,0.059509087,30222
820,70.0,0.060136402,30590
830,70.0,0.060762252,30956
840,70.0,0.061367745,31315
850,70.0,0.061974637,31684
860,70.0,0.062619904,32052
870,70.0,0.063651838,32418
880,71.0,0.064321115,32782
890,71.0,0.064992094,33148
900,71.0,0.065620859,33520
910,71.0,0.068316666,33883
920,70.0,0.068960199,34253
930,71.0,0.069813304,34614
940,72.0,0.070443543,34977
950,72.0,0.071127798,35344
960,72.0,0.071788607,35709
970,72.0,0.072433738,36080
980,73.0,0.073065238,36447
990,72.0,0.073695649,36812
1000,72.0,0.07431692,37187
1010,74.0,0.074943052,37555
1020,72.0,0.075828233,37929
1030,73.0,0.076454548,38303
1040,73.0,0.077172546,38671
1050,73.0,0.077780895,39044
1060,73.0,0.078674273,39399
1070,73.0,0.079332236,39770
1080,74.0,0.080095969,40144
1090,74.0,0.080704577,40507
1100,73.0,0.081624358,40867
1110,72.0,0.082336841,41235
1120,73.0,0.083463378,41602
1130,74.0,0.08417628,41966
1140,74.0,0.085371679,42332
1150,76.0,0.086074346,42699
1160,76.0,0.087186605,43059
