iterations,fitness,time,fevals
0,68.0,0.089962168,1000
10,73.0,0.171100462,2100
20,74.0,0.25245357,3200
30,75.0,0.318227908,4300
40,74.0,0.391416188,5400
50,74.0,0.50076348,6500
60,74.0,0.714684632,7600
70,74.0,0.816014656,8700
80,74.0,0.935035683,9800
90,74.0,1.010191491,10900
100,74.0,1.08726618,12000
110,73.0,1.145975602,13100
120,74.0,1.20351852,14200
130,73.0,1.293801665,15300
140,73.0,1.433115167,16400
150,74.0,1.63045137,17500
160,74.0,1.933250021,18600
170,74.0,2.111330078,19700
180,74.0,2.256423277,20800
190,74.0,2.321541115,21900
200,74.0,2.402048981,23000
210,74.0,2.582876087,24100
220,75.0,2.702658196,25200
230,74.0,2.775381477,26300
240,74.0,2.945345333,27400
250,74.0,3.045366306,28500
260,74.0,3.123601861,29600
270,73.0,3.177737254,30700
280,74.0,3.224117695,31800
290,74.0,3.271895962,32900
300,73.0,3.343854643,34000
310,74.0,3.543317048,35100
320,74.0,3.654159275,36200
330,73.0,3.706026209,37300
340,74.0,3.750744559,38400
350,74.0,3.796737729,39500
360,76.0,3.847938846,40600
370,74.0,3.898698843,41700
380,75.0,3.946933104,42800
390,74.0,3.99341823,43900
400,73.0,4.039584357,45000
410,74.0,4.091816283,46100
420,75.0,4.154892778,47200
430,74.0,4.222694653,48300
440,73.0,4.295248254,49400
450,74.0,4.384825008,50500
460,74.0,4.52014619,51600
470,73.0,4.618058194,52700
480,74.0,4.688661858,53800
490,74.0,4.742367968,54900
500,74.0,4.790178001,56000
510,74.0,4.835504529,57100
520,73.0,4.878728621,58200
530,74.0,4.923804135,59300
540,76.0,4.971563867,60400
550,74.0,5.021390926,61500
560,75.0,5.086461749,62600
570,74.0,5.156652472,63700
580,74.0,5.241057791,64800
590,74.0,5.47422305,65900
600,73.0,5.65948662,67000
610,74.0,5.76003168,68100
620,74.0,5.840293762,69200
630,75.0,5.917173992,70300
640,75.0,5.99319146,71400
650,75.0,6.051152672,72500
660,75.0,6.099964101,73600
670,74.0,6.149482448,74700
680,74.0,6.206704004,75800
690,74.0,6.271364077,76900
700,74.0,6.366093077,78000
710,75.0,6.455041595,79100
720,74.0,6.566104191,80200
730,75.0,6.638356793,81300
740,75.0,6.69551541,82400
750,75.0,6.749703688,83500
760,74.0,6.796843704,84600
770,75.0,6.843361827,85700
780,74.0,6.89002287,86800
790,74.0,6.939116678,87900
800,74.0,6.987454634,89000
810,75.0,7.036338051,90100
820,75.0,7.083296261,91200
830,75.0,7.131141664,92300
840,74.0,7.184597027,93400
850,75.0,7.250500089,94500
860,75.0,7.347857899,95600
870,76.0,7.440261257,96700
880,75.0,7.560161792,97800
890,74.0,7.658119088,98900
900,75.0,7.722050614,100000
910,74.0,7.77121557,101100
920,74.0,7.822753172,102200
930,74.0,7.87437981,103300
940,76.0,7.923331302,104400
950,75.0,7.971685861,105500
960,75.0,8.022503247,106600
970,75.0,8.072835134,107700
980,75.0,8.119052613,108800
990,75.0,8.165535898,109900
1000,74.0,8.237672681,111000
1010,75.0,8.324765658,112100
1020,74.0,8.408109859,113200
1030,74.0,8.514735512,114300
1040,75.0,8.636972778,115400
1050,75.0,8.722946052,116500
1060,74.0,8.813346903,117600
1070,75.0,8.895294558,118700
1080,74.0,8.946924635,119800
1090,75.0,8.994790209,120900
1100,75.0,9.041248561,122000
1110,74.0,9.088428011,123100
1120,74.0,9.140901157,124200
1130,74.0,9.212583415,125300
1140,74.0,9.302846024,126400
1150,74.0,9.393240357,127500
1160,75.0,9.490462864,128600
1170,74.0,9.582986134,129700
1180,74.0,9.693039566,130800
1190,74.0,9.759981154,131900
1200,74.0,9.816338064,133000
1210,75.0,9.862898932,134100
1220,75.0,9.90989876,135200
1230,75.0,9.955937186,136300
1240,75.0,10.008504237,137400
1250,74.0,10.055914342,138500
1260,75.0,10.104657455,139600
1270,75.0,10.156344714,140700
1280,75.0,10.236412733,141800
1290,75.0,10.325720639,142900
1300,76.0,10.416591116,144000
1310,75.0,10.502661567,145100
1320,76.0,10.557411802,146200
1330,76.0,10.606918635,147300
1340,76.0,10.656358435,148400
1350,76.0,10.703405233,149500
1360,76.0,10.746259331,150600
1370,76.0,10.790099729,151700
1380,76.0,10.832673498,152800
1390,75.0,10.87723297,153900
1400,75.0,10.92368503,155000
1410,76.0,10.967895566,156100
1420,75.0,11.011233984,157200
1430,77.0,11.057378442,158300
1440,76.0,11.10596698,159400
1450,76.0,11.188398683,160500
1460,76.0,11.315461529,161600
1470,76.0,11.418477106,162700
1480,75.0,11.508952632,163800
1490,75.0,11.576614619,164900
1500,76.0,11.635964632,166000
1510,76.0,11.696163354,167100
1520,76.0,11.769416373,168200
1530,75.0,11.839556639,169300
