iterations,fitness,time,fevals
0,46.0,2.5054e-05,11
10,48.0,4.8686e-05,21
20,52.0,8.06980000001e-05,31
30,56.0,0.000122053,41
40,58.0,0.000146327,51
50,58.0,0.00019495,61
60,58.0,0.000226284,71
70,58.0,0.000251057,81
80,59.0,0.000277029,91
90,61.0,0.000299776,101
100,62.0,0.000324626,111
110,63.0,0.000347319,121
120,64.0,0.000370079,131
130,64.0,0.000389036,141
140,66.0,0.00041139,151
150,67.0,0.000435195,161
160,68.0,0.000452357,171
170,68.0,0.000470848,181
180,69.0,0.000491540000001,191
190,71.0,0.000513622000001,201
200,72.0,0.000536322000001,211
210,72.0,0.000559193,221
220,73.0,0.000583843,231
230,73.0,0.000610445,241
240,75.0,0.000638159,251
250,75.0,0.000667168,261
260,75.0,0.000692387,271
270,75.0,0.00074414,281
280,75.0,0.008419826,291
290,76.0,0.008449901,301
300,76.0,0.008480812,311
310,76.0,0.009436951,321
320,76.0,0.009482464,331
330,76.0,0.009525829,341
340,76.0,0.009547929,351
350,76.0,0.009566258,361
360,76.0,0.009586774,371
370,76.0,0.009614266,381
380,77.0,0.009642477,391
390,77.0,0.009664598,401
400,77.0,0.009682512,411
410,77.0,0.009703723,421
420,77.0,0.009722174,431
430,77.0,0.009740253,441
440,77.0,0.00975717,451
450,77.0,0.010707984,461
460,77.0,0.010737664,471
470,78.0,0.010761637,481
480,78.0,0.010799041,491
490,78.0,0.01083717,501
500,78.0,0.011321314,511
510,78.0,0.011358635,521
520,78.0,0.011398776,531
530,79.0,0.011429746,541
540,79.0,0.011451959,551
550,79.0,0.011471309,561
560,80.0,0.011492348,571
570,80.0,0.011513155,581
580,80.0,0.011532873,591
590,80.0,0.011554326,601
600,80.0,0.011576368,611
610,80.0,0.011596606,621
620,80.0,0.011618499,631
630,80.0,0.011639387,641
640,80.0,0.011662312,651
650,80.0,0.011686655,661
660,80.0,0.011707223,671
670,80.0,0.01172788,681
680,80.0,0.011750026,691
690,80.0,0.01184952,701
700,80.0,0.011868557,711
710,80.0,0.011944833,721
720,80.0,0.012008415,731
730,80.0,0.012035246,741
740,80.0,0.012064729,751
750,80.0,0.012094532,761
760,80.0,0.012137626,771
770,80.0,0.012175953,781
780,80.0,0.012211792,791
790,80.0,0.012247666,801
800,80.0,0.012278809,811
810,80.0,0.012308709,821
820,80.0,0.012337787,831
830,80.0,0.012385105,841
840,80.0,0.012419205,851
850,80.0,0.012441791,861
860,80.0,0.012460115,871
870,80.0,0.012479441,881
880,80.0,0.012514044,891
890,80.0,0.012554184,901
900,80.0,0.012583128,911
910,80.0,0.012614142,921
920,80.0,0.012636157,931
930,80.0,0.012657495,941
940,80.0,0.012682341,951
950,80.0,0.012703297,961
960,80.0,0.012726412,971
970,80.0,0.012746612,981
980,80.0,0.012765713,991
990,80.0,0.012785046,1001
1000,80.0,0.012805026,1011
1010,80.0,0.012826689,1021
1020,80.0,0.012846457,1031
1030,80.0,0.012867821,1041
1040,80.0,0.012905915,1051
1050,80.0,0.012923236,1061
1060,80.0,0.012941712,1071
1070,80.0,0.012959587,1081
1080,80.0,0.012977981,1091
1090,80.0,0.013014979,1101
1100,80.0,0.01305386,1111
1110,80.0,0.013092218,1121
1120,80.0,0.013112069,1131
1130,80.0,0.013133071,1141
1140,80.0,0.013154267,1151
1150,80.0,0.013177735,1161
1160,80.0,0.013199629,1171
1170,80.0,0.01321919,1181
1180,80.0,0.013241366,1191
1190,80.0,0.013262819,1201
1200,80.0,0.013280882,1211
1210,80.0,0.013301751,1221
1220,80.0,0.013322192,1231
1230,80.0,0.013343294,1241
1240,80.0,0.013365863,1251
1250,80.0,0.013388201,1261
1260,80.0,0.013410117,1271
1270,80.0,0.013453705,1281
1280,80.0,0.013488681,1291
1290,80.0,0.013535222,1301
1300,80.0,0.013576829,1311
1310,80.0,0.013609702,1321
1320,80.0,0.013641125,1331
1330,80.0,0.013676225,1341
1340,80.0,0.013711666,1351
1350,80.0,0.013741021,1361
1360,80.0,0.013782318,1371
1370,80.0,0.013814623,1381
1380,80.0,0.013844057,1391
1390,80.0,0.013871717,1401
1400,80.0,0.013905134,1411
1410,80.0,0.013931277,1421
1420,80.0,0.013990734,1431
1430,80.0,0.014042461,1441
1440,80.0,0.014083469,1451
1450,80.0,0.014125553,1461
1460,80.0,0.01416186,1471
1470,80.0,0.014202371,1481
1480,80.0,0.014231162,1491
1490,80.0,0.014271811,1501
1500,80.0,0.014306807,1511
1510,80.0,0.014348021,1521
1520,80.0,0.014390934,1531
1530,80.0,0.014421674,1541
1540,80.0,0.01445686,1551
1550,80.0,0.014493706,1561
1560,80.0,0.014516052,1571
1570,80.0,0.014535255,1581
1580,80.0,0.01458103,1591
1590,80.0,0.014638364,1601
1600,80.0,0.014673108,1611
1610,80.0,0.014705682,1621
1620,80.0,0.014738989,1631
1630,80.0,0.014773626,1641
1640,80.0,0.014809581,1651
1650,80.0,0.014830355,1661
1660,80.0,0.014852145,1671
1670,80.0,0.014872367,1681
1680,80.0,0.014893818,1691
1690,80.0,0.014914688,1701
1700,80.0,0.014933378,1711
1710,80.0,0.014951056,1721
1720,80.0,0.014969012,1731
1730,80.0,0.014988083,1741
1740,80.0,0.015017517,1751
1750,80.0,0.01506499,1761
1760,80.0,0.016312419,1771
1770,80.0,0.01635988,1781
1780,80.0,0.016385697,1791
1790,80.0,0.016423057,1801
1800,80.0,0.016452166,1811
1810,80.0,0.01649021,1821
1820,80.0,0.016539767,1831
1830,80.0,0.016586808,1841
