iterations,fitness,time,fevals
0,42.0,2.92489999998e-05,11
10,43.0,5.42249999995e-05,21
20,43.0,7.54389999997e-05,31
30,47.0,9.65579999992e-05,41
40,48.0,0.000116046,51
50,50.0,0.000135822,61
60,51.0,0.000155780999999,71
70,53.0,0.000174899999999,81
80,53.0,0.000194128,91
90,55.0,0.000216211999999,101
100,56.0,0.000237442999999,111
110,58.0,0.000305324999998,121
120,59.0,0.000349973999999,131
130,60.0,0.000375130999998,141
140,61.0,0.000401017999998,151
150,62.0,0.000423282999998,161
160,63.0,0.000485149999998,171
170,66.0,0.000520733999998,181
180,66.0,0.000564586999999,191
190,66.0,0.000614944999999,201
200,67.0,0.000669551999999,211
210,68.0,0.000698509999999,221
220,69.0,0.000734670999999,231
230,72.0,0.000833130999998,241
240,73.0,0.000865192999998,251
250,74.0,0.000899187999999,261
260,75.0,0.000939677999999,271
270,75.0,0.001028716,281
280,75.0,0.001063268,291
290,75.0,0.001098085,301
300,76.0,0.00113002,311
310,76.0,0.001238606,321
320,76.0,0.00127817,331
330,76.0,0.001298666,341
340,76.0,0.001321618,351
350,76.0,0.001349425,361
360,76.0,0.001375286,371
370,76.0,0.001400314,381
380,76.0,0.001436104,391
390,76.0,0.001466783,401
400,76.0,0.001496715,411
410,76.0,0.001522135,421
420,77.0,0.001548938,431
430,77.0,0.001580087,441
440,77.0,0.001608271,451
450,77.0,0.001631412,461
460,77.0,0.001652074,471
470,77.0,0.001677235,481
480,77.0,0.001743285,491
490,77.0,0.001769453,501
500,77.0,0.001838222,511
510,77.0,0.001859551,521
520,77.0,0.001883068,531
530,77.0,0.001938491,541
540,77.0,0.001961862,551
550,78.0,0.00198511,561
560,78.0,0.002006154,571
570,78.0,0.002029859,581
580,78.0,0.00205293,591
590,78.0,0.002078281,601
600,78.0,0.00210248,611
610,79.0,0.002128148,621
620,79.0,0.002159789,631
630,80.0,0.00218344,641
640,80.0,0.002207996,651
650,80.0,0.002228187,661
660,80.0,0.002254956,671
670,80.0,0.002282458,681
680,80.0,0.002310254,691
690,80.0,0.002350908,701
700,80.0,0.002384094,711
710,80.0,0.002411848,721
720,80.0,0.002447555,731
