iterations,fitness,time,fevals
0,529.0,0.003767436,581
10,526.0,0.006857199,1066
20,537.0,0.009799703,1550
30,534.0,0.01273049,2038
40,539.0,0.01520056,2531
50,541.0,0.017695071,3019
60,550.0,0.019990748,3498
70,551.0,0.022302055,3990
80,549.0,0.024405175,4468
90,557.0,0.026494685,4944
100,551.0,0.028353949,5416
110,547.0,0.030425566,5887
120,548.0,0.032654859,6366
130,546.0,0.034537012,6845
140,554.0,0.036791918,7335
150,556.0,0.038886607,7827
160,551.0,0.040808395,8324
170,552.0,0.042809428,8818
180,555.0,0.044822337,9298
190,554.0,0.04667892,9768
200,557.0,0.048641568,10263
210,551.0,0.050557594,10742
220,553.0,0.053102526,11223
230,547.0,0.055500415,11708
240,549.0,0.057502407,12194
250,543.0,0.059478654,12669
260,543.0,0.061726835,13147
270,543.0,0.063813391,13614
280,537.0,0.065948108,14099
290,541.0,0.069065821,14580
300,539.0,0.071060214,15070
310,543.0,0.07323966,15551
320,545.0,0.075207288,16029
330,545.0,0.077224636,16517
340,545.0,0.079429572,17008
350,545.0,0.081693589,17495
360,549.0,0.083680541,17980
370,547.0,0.085709783,18462
380,545.0,0.087726274,18945
390,547.0,0.089615627,19429
400,543.0,0.091698252,19907
410,543.0,0.094028953,20379
420,551.0,0.096163467,20873
430,545.0,0.098112532,21353
440,545.0,0.100211405,21841
450,549.0,0.102129458,22323
460,549.0,0.104081269,22812
470,549.0,0.106063306,23285
480,551.0,0.107976127,23767
490,553.0,0.109969995,24255
500,555.0,0.111817126,24731
510,559.0,0.113620496,25213
520,557.0,0.115604573,25678
530,555.0,0.11765638,26155
540,557.0,0.1201269,26633
550,557.0,0.122168883,27133
560,555.0,0.12405249,27616
570,553.0,0.126047434,28109
580,555.0,0.128090893,28581
590,555.0,0.13026954,29066
600,553.0,0.132221344,29551
610,553.0,0.134185017,30011
620,557.0,0.136665688,30502
630,561.0,0.138541273,30973
640,557.0,0.140536161,31462
650,553.0,0.142460359,31947
660,553.0,0.144421002,32424
670,551.0,0.146910392,32895
