iterations,fitness,time,fevals
0,549.0,17.597031638,1000
10,582.0,34.949199143,2100
20,608.0,51.836617701,3200
30,634.0,68.467550555,4300
40,660.0,84.428946791,5400
50,694.0,99.715514539,6500
60,708.0,114.589654545,7600
70,710.0,129.384912902,8700
80,723.0,143.727456559,9800
90,735.0,157.708352201,10900
100,731.0,171.734134753,12000
110,731.0,186.508993403,13100
120,745.0,201.894978223,14200
130,747.0,218.079076836,15300
140,753.0,233.274512135,16400
150,763.0,246.71095599,17500
160,763.0,260.39550893,18600
170,758.0,273.549387981,19700
180,775.0,286.631151889,20800
190,773.0,299.468532138,21900
200,769.0,312.720366958,23000
210,783.0,325.246255495,24100
220,781.0,337.50078374,25200
230,788.0,349.970328587,26300
240,791.0,362.311346469,27400
250,781.0,375.144266371,28500
260,791.0,387.774736807,29600
270,781.0,400.263182672,30700
280,775.0,413.031120023,31800
290,787.0,425.887611708,32900
300,795.0,438.493644706,34000
310,785.0,451.412095909,35100
320,793.0,464.210387304,36200
330,785.0,477.088616873,37300
340,785.0,489.49710684,38400
350,783.0,502.699350405,39500
360,798.0,515.978439278,40600
370,791.0,528.806238741,41700
380,797.0,541.68015399,42800
390,801.0,554.2665247,43900
400,785.0,566.699861558,45000
410,789.0,579.468950008,46100
420,791.0,592.267968871,47200
430,795.0,605.411448871,48300
440,787.0,618.176229443,49400
450,795.0,631.171531763,50500
460,797.0,643.869021358,51600
470,785.0,656.883798651,52700
480,795.0,669.421798038,53800
490,791.0,682.329263625,54900
500,803.0,694.979164876,56000
510,781.0,707.691774511,57100
520,787.0,720.633103434,58200
530,797.0,733.644811059,59300
540,805.0,746.504646274,60400
550,799.0,759.238849975,61500
560,799.0,771.887471535,62600
570,791.0,784.600595311,63700
580,820.0,797.181577723,64800
590,793.0,810.017340707,65900
600,807.0,822.581411037,67000
610,797.0,835.07905254,68100
620,809.0,847.653339035,69200
630,809.0,860.302762342,70300
640,791.0,873.3459883,71400
650,795.0,885.972397599,72500
660,797.0,898.561946413,73600
670,809.0,910.926039223,74700
680,801.0,923.496006603,75800
690,795.0,936.248261498,76900
700,813.0,948.927357825,78000
710,803.0,961.797306432,79100
720,805.0,974.3449216,80200
730,803.0,987.226188414,81300
740,795.0,999.862120592,82400
750,803.0,1012.50509959,83500
760,807.0,1025.68476165,84600
770,801.0,1038.70022892,85700
780,807.0,1051.41324721,86800
790,805.0,1064.58938813,87900
800,801.0,1077.51602034,89000
810,793.0,1090.48157557,90100
820,805.0,1103.5551012,91200
830,787.0,1117.22268422,92300
840,799.0,1130.51194241,93400
850,805.0,1143.47482801,94500
