iterations,fitness,time,fevals
0,489.0,0.000134315,11
10,489.0,0.000265106,21
20,489.0,0.00037215,31
30,491.0,0.000534395,41
40,495.0,0.000643347,51
50,495.0,0.000827381,61
60,497.0,0.000958483999999,71
70,499.0,0.001086919,81
80,505.0,0.001206036,91
90,507.0,0.001312543,101
100,511.0,0.001415033,111
110,513.0,0.001541859,121
120,517.0,0.001708937,131
130,519.0,0.001884944,141
140,519.0,0.002427794,151
150,521.0,0.003169776,161
160,527.0,0.003307943,171
170,527.0,0.003470488,181
180,527.0,0.003632878,191
190,533.0,0.003801636,201
200,533.0,0.003917156,211
210,535.0,0.00407021,221
220,537.0,0.004173211,231
230,537.0,0.004270053,241
240,538.0,0.004395812,251
250,542.0,0.004509654,261
260,542.0,0.004617851,271
270,544.0,0.004719164,281
280,548.0,0.004820109,291
290,550.0,0.004962514,301
300,550.0,0.00506942,311
310,550.0,0.005178825,321
320,550.0,0.005281089,331
330,552.0,0.005381363,341
340,554.0,0.005483163,351
350,556.0,0.005587417,361
360,560.0,0.005691044,371
370,562.0,0.00580972,381
380,562.0,0.005920541,391
390,564.0,0.006029106,401
400,564.0,0.006130585,411
410,564.0,0.006222685,421
420,566.0,0.006316504,431
430,566.0,0.006421275,441
440,570.0,0.006520014,451
450,574.0,0.006867557,461
460,576.0,0.006954454,471
470,576.0,0.007065615,481
480,580.0,0.00734508,491
490,584.0,0.007471104,501
500,584.0,0.007585139,511
510,584.0,0.007887928,521
520,584.0,0.007975153,531
530,588.0,0.008071579,541
540,590.0,0.008168727,551
550,592.0,0.008272351,561
560,592.0,0.008357393,571
570,592.0,0.00844475,581
580,596.0,0.008527257,591
590,596.0,0.008618436,601
600,596.0,0.008704478,611
610,596.0,0.008788796,621
620,598.0,0.008880736,631
630,598.0,0.009002966,641
640,600.0,0.009092068,651
650,600.0,0.009191564,661
660,600.0,0.009301876,671
670,600.0,0.009396185,681
680,602.0,0.009489438,691
690,602.0,0.009590006,701
700,602.0,0.009716174,711
710,604.0,0.009865129,721
720,604.0,0.010031902,731
730,604.0,0.010334598,741
740,606.0,0.010453359,751
750,606.0,0.010592673,761
760,608.0,0.010698835,771
770,616.0,0.01083282,781
780,616.0,0.010929809,791
790,616.0,0.011036088,801
800,616.0,0.011187367,811
810,622.0,0.01131764,821
820,622.0,0.011419501,831
830,622.0,0.011546881,841
840,622.0,0.011632373,851
850,622.0,0.011719277,861
860,624.0,0.011812903,871
870,624.0,0.011951311,881
880,624.0,0.012048747,891
890,626.0,0.012163945,901
900,626.0,0.012254643,911
910,626.0,0.012350775,921
920,626.0,0.012449735,931
930,628.0,0.012549822,941
940,630.0,0.012629681,951
950,634.0,0.012718253,961
960,634.0,0.012801278,971
970,638.0,0.012888787,981
980,640.0,0.012969354,991
990,640.0,0.013050186,1001
1000,642.0,0.013129791,1011
1010,646.0,0.013229195,1021
1020,650.0,0.013321986,1031
1030,650.0,0.013411625,1041
1040,652.0,0.013491989,1051
1050,652.0,0.013609403,1061
1060,652.0,0.013695766,1071
1070,652.0,0.013790881,1081
1080,652.0,0.013913894,1091
1090,654.0,0.014008781,1101
1100,654.0,0.014101745,1111
1110,654.0,0.01422111,1121
1120,656.0,0.014313343,1131
1130,656.0,0.014427313,1141
1140,658.0,0.014530045,1151
1150,658.0,0.014649033,1161
1160,658.0,0.014768177,1171
1170,658.0,0.014913372,1181
1180,660.0,0.015006576,1191
1190,662.0,0.015102823,1201
1200,662.0,0.015261103,1211
1210,664.0,0.015343591,1221
1220,664.0,0.015427575,1231
1230,664.0,0.015507119,1241
1240,666.0,0.015599815,1251
1250,668.0,0.015678,1261
1260,672.0,0.015771069,1271
1270,672.0,0.015870539,1281
1280,672.0,0.015965273,1291
1290,672.0,0.016081193,1301
1300,676.0,0.016380336,1311
1310,680.0,0.016485573,1321
1320,680.0,0.016570064,1331
1330,680.0,0.016654002,1341
1340,684.0,0.016749382,1351
1350,686.0,0.016829515,1361
1360,686.0,0.016910081,1371
1370,686.0,0.017074544,1381
1380,686.0,0.01720483,1391
1390,688.0,0.017305465,1401
1400,690.0,0.017343393,1411
1410,692.0,0.017377398,1421
1420,692.0,0.017413997,1431
1430,692.0,0.017445171,1441
1440,694.0,0.017484202,1451
1450,694.0,0.017531939,1461
1460,694.0,0.017583612,1471
1470,694.0,0.017622992,1481
1480,694.0,0.01766063,1491
1490,696.0,0.017707121,1501
1500,696.0,0.017761471,1511
1510,696.0,0.017806773,1521
1520,698.0,0.017843236,1531
1530,698.0,0.017879105,1541
1540,698.0,0.017916216,1551
1550,698.0,0.017960237,1561
1560,698.0,0.01801052,1571
1570,698.0,0.018052971,1581
1580,702.0,0.018091292,1591
1590,704.0,0.018131815,1601
1600,708.0,0.01817195,1611
1610,710.0,0.018234668,1621
1620,710.0,0.018272425,1631
1630,710.0,0.018308202,1641
1640,710.0,0.018341565,1651
1650,710.0,0.018376951,1661
1660,712.0,0.018430323,1671
1670,712.0,0.01846736,1681
1680,712.0,0.018499082,1691
1690,712.0,0.018531684,1701
1700,716.0,0.01856774,1711
1710,716.0,0.018619788,1721
1720,716.0,0.018649355,1731
1730,718.0,0.018684324,1741
1740,718.0,0.018720095,1751
1750,718.0,0.018750688,1761
1760,720.0,0.01879186,1771
1770,720.0,0.018855079,1781
1780,720.0,0.018890418,1791
1790,722.0,0.018931336,1801
1800,722.0,0.018969969,1811
1810,722.0,0.019000389,1821
1820,722.0,0.019029489,1831
1830,724.0,0.019059021,1841
1840,726.0,0.019086618,1851
1850,728.0,0.019120802,1861
1860,728.0,0.019155311,1871
1870,730.0,0.01919536,1881
1880,730.0,0.019229091,1891
1890,730.0,0.019263217,1901
