iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,11.3487095377,11.1861314933,10.6202369356,0.102407407407,0.0966666666667,0.103,0.804756242568,0.814027630181,0.798709677419,4.74732722
10,11.3485678328,11.1861707264,10.6237842609,0.102592592593,0.0966666666667,0.103,0.804898347402,0.814027630181,0.797934151065,67.597985162
20,11.3432380738,11.1882028612,10.6307345178,0.102777777778,0.0983333333333,0.103,0.805697329377,0.814027630181,0.797157622739,140.57320304
30,11.3298638678,11.1552070046,10.6222633979,0.102037037037,0.0983333333333,0.103,0.809079087363,0.819047619048,0.798969072165,223.158062619
40,11.3270083753,11.1659112187,10.6268639784,0.101851851852,0.0966666666667,0.102,0.810153482881,0.816931216931,0.797680412371,305.081417628
50,11.3201058949,11.1536936088,10.6147721526,0.101851851852,0.0966666666667,0.101,0.810995752714,0.818181818182,0.799485861183,387.44668858
60,11.3192644984,11.146109725,10.6059063353,0.101111111111,0.0983333333333,0.1,0.810383480826,0.820295983087,0.800513149455,470.470546452
70,11.2948106431,11.1423999483,10.5998385603,0.1,0.0916666666667,0.096,0.814136433016,0.818947368421,0.801020408163,552.599250259
80,11.2911901357,11.1389733971,10.5990601148,0.0992592592593,0.09,0.095,0.814032617623,0.819327731092,0.80127388535,636.282582998
90,11.2655466729,11.1253003977,10.5773240729,0.097962962963,0.0883333333333,0.091,0.818012132524,0.819706498952,0.80253164557,720.858473285
100,11.2513851349,11.0682671064,10.5542820364,0.0983333333333,0.0916666666667,0.092,0.821793680297,0.831950207469,0.807570977918,804.405525098
110,11.2512725212,11.0671691509,10.5543209285,0.0983333333333,0.0916666666667,0.092,0.821793680297,0.831950207469,0.807570977918,888.996392132
120,11.2483015845,11.0595327995,10.5510116375,0.0987037037037,0.0916666666667,0.091,0.822942064321,0.833505687694,0.807813484562,972.366107632
130,11.2469092542,11.0563861493,10.546426285,0.0987037037037,0.09,0.091,0.822942064321,0.832298136646,0.807813484562,1071.48282171
140,11.2402012829,11.0583213646,10.5428968067,0.0990740740741,0.0916666666667,0.094,0.824756606398,0.833505687694,0.810810810811,1170.44102028
150,11.2379529072,11.055869819,10.5282506746,0.0990740740741,0.0916666666667,0.094,0.825301204819,0.834710743802,0.813793103448,1266.51061785
160,11.2222011066,11.0380770688,10.4960518275,0.0985185185185,0.09,0.092,0.827769435139,0.836251287333,0.81625,1355.45067406
170,11.1877081783,11.0153974962,10.4831897917,0.0987037037037,0.0916666666667,0.09,0.83448117539,0.842535787321,0.818181818182,1443.73589227
180,11.1820912701,11.0052440952,10.441099452,0.0987037037037,0.09,0.091,0.835091743119,0.842535787321,0.824039653036,1531.61555585
190,11.1791433733,11.0052441218,10.4389344417,0.0981481481481,0.09,0.091,0.835605453087,0.842535787321,0.824767801858,1620.05090983
200,11.186702439,11.0021860498,10.4462280106,0.0975925925926,0.09,0.091,0.834479596515,0.843718079673,0.824039653036,1713.55945494
