iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,11.7223846104,11.4233054611,10.8876594633,0.102592592593,0.0983333333333,0.118,0.822757111597,0.840271055179,0.838859802211,3.983512048
10,11.7264040748,11.4415871593,10.8912728606,0.102592592593,0.1,0.118,0.822499452834,0.840271055179,0.838183934808,43.567004641
20,11.7541592158,11.45159701,10.9267690584,0.103148148148,0.0983333333333,0.117,0.819150104315,0.835762876579,0.834112149533,83.385735669
30,11.7281639202,11.4090234791,10.8996476615,0.102777777778,0.0983333333333,0.118,0.822331691297,0.841392649903,0.83750728014,121.858876163
40,11.6943913292,11.3922649055,10.8734984302,0.102592592593,0.0983333333333,0.118,0.826736451859,0.845043310876,0.840209180709,160.242150067
50,11.6607025822,11.3656001556,10.8482365472,0.102592592593,0.0983333333333,0.118,0.829926054806,0.847262247839,0.842898550725,198.959895631
60,11.6519977666,11.3512770428,10.8333921024,0.102592592593,0.0983333333333,0.118,0.830688980656,0.849472674976,0.843568945539,237.832204416
70,11.6501552175,11.3641628244,10.8438911603,0.102592592593,0.0966666666667,0.117,0.831070070614,0.847262247839,0.84222737819,276.503233397
80,11.7308803294,11.416488914,10.9081272192,0.102592592593,0.0983333333333,0.117,0.822499452834,0.842815814851,0.835472578763,320.531848291
90,11.6899404068,11.3960738716,10.8895970646,0.102592592593,0.0983333333333,0.117,0.826864369821,0.845043310876,0.838183934808,364.66141745
100,11.5965892272,11.3453446528,10.7986154989,0.102407407407,0.0983333333333,0.118,0.837169097785,0.850574712644,0.847575057737,408.832504053
110,11.6247085274,11.3671119065,10.8258842919,0.102777777778,0.1,0.118,0.833947539562,0.850287907869,0.844907407407,452.538865317
120,11.6115976748,11.3614528014,10.8183731821,0.102592592593,0.1,0.118,0.835623850233,0.850287907869,0.844907407407,497.14796457
130,11.5904249704,11.3560898105,10.7889342922,0.102777777778,0.1,0.118,0.837977965003,0.851390220518,0.848240046163,541.359089703
140,11.5698033222,11.3284144659,10.7712488018,0.102777777778,0.1,0.118,0.839732528041,0.853588516746,0.850230414747,585.073723418
150,11.5387856883,11.2856838791,10.7447516521,0.102777777778,0.1,0.118,0.842976984298,0.856870229008,0.852873563218,629.516150929
160,11.5361680614,11.2856404513,10.7441565199,0.102777777778,0.1,0.118,0.843598839084,0.856870229008,0.852873563218,673.423170877
170,11.541082666,11.2903968647,10.7518934852,0.102592592593,0.1,0.118,0.842761884276,0.855778414518,0.852213916044,717.432253632
180,11.5245578534,11.2323684167,10.7440829137,0.102592592593,0.1,0.118,0.844501718213,0.861216730038,0.852873563218,762.765510444
190,11.493009596,11.2203070137,10.7059863637,0.102222222222,0.1,0.118,0.848030821918,0.862298195632,0.856160458453,806.96258059
200,11.4805253038,11.1960767032,10.685441056,0.102222222222,0.1,0.118,0.849262347659,0.86553030303,0.858776443682,851.171015282
